"UnitNumber","abff","changetime","opmode","floor"
"R2N13189","1","1,765,980,872","DCP","2"
"F8N1SZK1","1","1,765,980,458","DCP","2"
"R2N7Y038","1","1,765,980,887","DTC","0"
"R2K01C51","1","1,765,980,773","NAV","1"
"R2N02160","1","1,765,980,858","HAD","4"
"R2N78873","1","1,765,980,801","HAD","1"
"R2K01C51","1","1,765,981,096","NAV","1"
"F8N8R374","1","1,765,980,668","DCP","21"
"R2N9X068","1","1,765,980,897","DCP","24"
"R2N5K920","1","1,765,981,168","NAV","2"
"F8S70A60","1","1,765,980,687","HAD","0"
"F8N0ZZP1","1","1,765,980,651","NAV","0"
"R2N5K920","1","1,765,980,601","NAV","2"
"R2N2Z988","1","1,765,980,561","DCP","1"
"R2N01A33","1","1,765,981,217","DCP","7"
"R2N1Z616","1","1,765,981,403","ESB","2"
"R2N1M061","1","1,765,980,910","ESB","1"
"R2N7R971","1","1,765,980,989","DCP","2"
"R2N5K920","1","1,765,981,446","NAV","2"
"F8S01B90","1","1,765,980,768","HAD","6"
"F8N51S49","1","1,765,981,242","DCP","8"
"R2N5N617","1","1,765,981,130","DCP","30"
"N8S00C43","1","1,765,980,795","NAV","2"
"F8S06A54","1","1,765,981,810","DCP","6"
"R2N0MK84","1","1,765,981,655","ESB","1"
"R2N4X817","1","1,765,981,698","ESB","1"
"D6N28994","1","1,765,981,018","NAV","3"
"D6NK5883","1","1,765,981,260","ESB","15"
"R2N8Y355","1","1,765,980,659","DCP","4"
"R2NV6202","1","1,765,980,859","NAV","1"
"R2N0JU55","1","1,765,981,118","NAV","3"
"79NC7382","1","1,765,981,158","DCP","3"
"R2N03N91","1","1,765,980,916","",""
"F8N0FMC4","1","1,765,980,950","DCP","0"
"F8N0MXU7","1","1,765,981,297","NAV","4"
"R2N8E507","1","1,765,980,807","DTC","6"
"F8N0SXH4","1","1,765,981,130","DTC","6"
"R2N0JU55","1","1,765,980,852","NAV","3"
"R2K4A633","1","1,765,980,840","DBF","4"
"F8S54B21","1","1,765,980,946","DCP","8"
"F8S01A89","1","1,765,980,993","DCP","2"
"R2N5K920","1","1,765,980,935","NAV","2"
"R2N73237","1","1,765,981,039","DCP","5"
"R2N5U243","1","1,765,981,161","HAD","1"
"R2S02M90","1","1,765,981,012","DTC","11"
"R2N78354","1","1,765,981,299","DTC","1"
"R2NV6202","1","1,765,981,279","NAV","1"
"F8S06A57","1","1,765,980,894","DCP","3"
"F8N0TRB3","1","1,765,980,945","DCP","18"
"R2S02J82","1","1,765,981,821","DTC","1"
"R2NV6202","1","1,765,981,134","NAV","1"
"D6N12992","1","1,765,980,303","NAV","10"
"F8S37A40","1","1,765,981,848","",""
"R2N4K851","1","1,765,981,577","DTC","6"
"F8N1NEC1","1","1,765,981,346","ESB","5"
"F8S14B67","1","1,765,981,904","HAD","0"
"R2N7F070","1","1,765,981,916","DCP","8"
"R2N0JU55","1","1,765,981,456","NAV","3"
"R2N2Z988","1","1,765,981,434","DCP","1"
"D6NH8274","1","1,765,981,716","DTO","33"
"R2N7Y297","1","1,765,981,856","NAV","1"
"R2NV6202","1","1,765,981,583","NAV","1"
"F8N0TAA2","1","1,765,981,847","HAD","3"
"F8N47U39","1","1,765,981,301","DCP","18"
"F8N55Z24","1","1,765,981,067","DCP","2"
"R2N7Y260","1","1,765,981,138","NAV","1"
"F8N1UHZ5","1","1,765,981,476","DCP","0"
"R2NB8283","1","1,765,981,909","DLM","1"
"F8N1ZDN7","1","1,765,981,337","DCP","2"
"R2N6T506","1","1,765,981,143","DCP","10"
"R2N8E507","1","1,765,981,851","DTC","6"
"F8S67B95","1","1,765,981,402","DTC","0"
"F8NEY908","1","1,765,981,253","HAD","1"
"R2N1N964","1","1,765,981,945","ESB","2"
"R2N5K920","1","1,765,981,602","NAV","2"
"R2NV6202","1","1,765,981,807","NAV","1"
"R2N6E918","1","1,765,980,942","DCP","1"
"R2NB8283","1","1,765,981,547","DLM","1"
"R2N0Y291","1","1,765,981,456","NAV","6"
"D6N59450","1","1,765,981,613","NAV","0"
"R2N6R848","1","1,765,981,727","DTC","1"
"F8NKM345","1","1,765,981,700","DTC","0"
"R2N0KM54","1","1,765,981,645","DCP","0"
"F8N80839","1","1,765,981,528","DCP","0"
"R2N92959","1","1,765,981,339","NAV","11"
"F8N1GAS4","1","1,765,981,831","DCP","11"
"R2N5K920","1","1,765,981,807","NAV","2"
"R2N9X067","1","1,765,981,739","DCP","2"
"R2N9X066","1","1,765,981,922","DCP","41"
"N8S00H05","1","1,765,981,824","DBF","6"
"F8N0JHA9","1","1,765,981,668","HAD","0"
"R2N0JU55","1","1,765,982,021","NAV","3"
"R2N0MK84","1","1,765,981,962","ESB","1"
"R2N0JU55","1","1,765,981,767","NAV","3"
"D6N37477","1","1,765,982,104","",""
"R2N2P847","1","1,766,035,478","DCP","12"
"F8N1KWK8","1","1,766,035,496","DTC","16"
"R2N8X725","1","1,766,035,586","DTC","3"
"R2N0BC92","1","1,766,035,657","",""
"F8N96Z56","1","1,766,035,570","DBF","3"
"R2N8S085","1","1,766,035,515","DCP","0"
"R2S07900","1","1,766,035,671","ESB","0"
"R2N7R104","1","1,766,035,448","DCP","1"
"R2N0JF59","1","1,766,035,667","",""
"R2N6Y395","1","1,766,035,668","NAV","255"
"F8N0LZZ8","1","1,766,035,426","HAD","19"
"F8N1XSH6","1","1,766,035,458","DCP","5"
"R2N7K625","1","1,766,035,437","DCP","13"
"F8N26M26","1","1,766,035,470","HAD","1"
"R2N0U701","1","1,766,035,564","DCP","0"
"R2N2X915","1","1,766,035,419","DCP","0"
"R2N07W08","1","1,766,035,721","ESB","1"
"R2N4R058","1","1,766,035,527","DCP","5"
"R2N2T275","1","1,766,035,498","DCP","2"
"F8N10U56","1","1,766,035,749","DCP","12"
"R2NO1482","1","1,766,035,607","ESB","1"
"F8N0XAG7","1","1,766,035,400","HAD","1"
"F8S46B94","1","1,766,035,629","DCP","15"
"F8K34B56","1","1,766,035,394","DCP","0"
"D6NM9506","1","1,766,035,495","DCP","23"
"F8N0WLS6","1","1,766,035,692","NAV","1"
"R2N7S547","1","1,766,035,420","DCP","30"
"D7N01721","1","1,766,035,557","DTC","2"
"F8N1MWL9","1","1,766,035,570","NAV","3"
"R2N3Y939","1","1,766,035,530","DCP","15"
"R2N7R087","1","1,766,035,632","DCP","9"
"F8N1UHU2","1","1,766,035,775","ESB","1"
"F8N70Z59","1","1,766,035,470","DCP","13"
"F8N1NFL3","1","1,766,035,465","DCP","15"
"79NP1081","1","1,766,035,562","DCP","0"
"F8N1HYN4","1","1,766,035,511","NAV","1"
"R2N1D223","1","1,766,035,500","DCP","10"
"F8N0TXW0","1","1,766,035,558","NAV","20"
"R2N1C822","1","1,766,035,721","NAV","13"
"R2N83783","1","1,766,035,511","DCP","17"
"F8S07A98","1","1,766,035,817","NAV","1"
"D6N01J92","1","1,766,035,652","DTC","1"
"R2N1C929","1","1,766,035,783","ESB","18"
"F8N36591","1","1,766,035,552","HAD","11"
"F8N0MDZ6","1","1,766,035,665","ESB","17"
"R2N6M381","1","1,766,035,852","DCP","12"
"R2N1E558","1","1,766,035,781","DLM","2"
"D7N01442","1","1,766,035,754","DCP","3"
"R2NV4172","1","1,766,035,575","ESB","1"
"R2N26511","1","1,766,035,602","NAV","1"
"F8K49A09","1","1,766,035,602","NAV","1"
"F8N0FYL9","1","1,766,035,656","NAV","2"
"F8N1JYX1","1","1,766,035,840","",""
"R2K01U60","1","1,766,035,584","DCP","14"
"R2N1X446","1","1,766,035,738","DCP","2"
"F8N1RHP4","1","1,766,035,634","NAV","1"
"D6NM8582","1","1,766,035,700","DTC","9"
"F8N34N41","1","1,766,035,782","ESB","1"
"R2N05Y30","1","1,766,035,969","",""
"R2N26511","1","1,766,035,602","NAV","1"
"D3N00M72","1","1,766,035,614","DCP","0"
"R2N4J517","1","1,766,035,431","DCP","11"
"F8N1UYG3","1","1,766,035,677","DTC","0"
"F8N15Z45","1","1,766,035,564","DCP","15"
"R2N8M193","1","1,766,035,653","ESB","1"
"F8N1FHY1","1","1,766,035,636","DCP","7"
"F8N36K42","1","1,766,035,228","DCP","6"
"N8K00T28","1","1,766,035,899","NAV","31"
"R2N0DQ17","1","1,766,035,772","DTC","3"
"R2N6N116","1","1,766,035,605","DCP","0"
"F8NVHI93","1","1,766,035,338","ESB","1"
"R2N3S287","1","1,766,035,737","NAV","0"
"R2N5Z085","1","1,766,035,684","DTC","0"
"F8N0JRB3","1","1,766,035,760","NAV","24"
"F8N1JKH1","1","1,766,035,523","DCP","2"
"R2N2C254","1","1,766,035,606","DCP","2"
"F8N0ZYU5","1","1,766,035,763","",""
"F8N88U48","1","1,766,035,670","ESB","1"
"D6N01U98","1","1,766,035,696","DTC","11"
"F8S36A43","1","1,766,035,906","DTC","21"
"R2N9W803","1","1,766,035,572","DCP","6"
"F8N1UFR9","1","1,766,035,568","HAD","21"
"R2N2Z050","1","1,766,035,714","DTC","8"
"F8N65P34","1","1,766,035,999","NAV","11"
"F8N56S53","1","1,766,035,886","DCP","18"
"F8N70298","1","1,766,035,706","ESB","1"
"R2N7S931","1","1,766,035,595","DCP","14"
"R2N4R198","1","1,766,035,514","DCP","2"
"F8S15B82","1","1,766,035,684","DCP","10"
"F8N0P002","1","1,766,035,678","ESB","1"
"R2N0BJ71","1","1,766,035,831","DTC","7"
"R2N0J967","1","1,766,035,549","HAD","1"
"F8N1GDT9","1","1,766,035,760","ESB","1"
"F8N1F990","1","1,766,035,688","ESB","1"
"R2N7Y606","1","1,766,046,395","DCP","2"
"R2N0S841","1","1,766,046,399","DCP","9"
"F8N1WAX5","1","1,766,046,409","DCP","1"
"R2N4A152","1","1,766,046,442","NAV","0"
"R2N0HJ72","1","1,766,046,333","DCP","17"
"N8N02B87","1","1,766,046,602","DTC","1"
"F8N1MFU4","1","1,766,046,383","DCP","0"
"F8N1MJY0","1","1,766,046,498","NAV","1"
"F8N39Y76","1","1,766,046,544","NAV","31"
"F8N1WDK1","1","1,766,046,341","DCP","11"
"R2S03C22","1","1,766,046,624","",""
"R2N81060","1","1,766,046,557","ESB","6"
"F8N1SMS9","1","1,766,046,630","DCP","7"
"R2N8S075","1","1,766,046,380","DCP","17"
"R2N01A33","1","1,766,046,456","DCP","6"
"R2NB5014","1","1,766,046,586","ESB","1"
"F8S85A14","1","1,766,046,432","DCP","0"
"F8N1EXE2","1","1,766,046,547","NAV","1"
"R2N4X783","1","1,766,046,519","DTC","17"
"F8N1NHC4","1","1,766,046,418","DCP","5"
"F8N97J51","1","1,766,046,642","NAV","29"
"R2N6Z222","1","1,766,046,488","DCP","19"
"F8N1JYP3","1","1,766,043,313","DCP","11"
"F8N1ZHU8","1","1,766,046,615","COR","255"
"R2N9S299","1","1,766,046,432","DCP","7"
"D3N04320","1","1,766,046,434","DCP","2"
"R2N01A46","1","1,766,046,500","DCP","7"
"F8S40B30","1","1,766,046,558","NAV","3"
"F8N0UBH1","1","1,766,046,284","NAV","17"
"D6N50842","1","1,766,046,460","DCP","3"
"R2N6R466","1","1,766,046,458","DCP","5"
"F8S42B46","1","1,766,046,631","DCP","5"
"F8N0P006","1","1,766,046,534","ESB","1"
"R2N7D249","1","1,766,046,670","DCP","4"
"R2N9T140","1","1,766,046,509","ESB","1"
"R2N1Z608","1","1,766,046,613","ESB","18"
"N8N01F35","1","1,766,048,444","DCP","0"
"N8S00L99","1","1,766,048,243","NAV","10"
"F8N0NNM2","1","1,766,048,183","DCP","0"
"F8N1PPY5","1","1,766,048,413","",""
"D6N66713","1","1,766,048,230","DCP","8"
"R2N12302","1","1,766,048,134","DCP","0"
"R2N9S491","1","1,766,048,233","DCP","1"
"F8N64Z80","1","1,766,048,106","NAV","17"
"R2N5Z169","1","1,766,048,418","",""
"F8N15X12","1","1,766,048,312","DCP","2"
"D6N57256","1","1,766,048,293","DTC","9"
"F8N1NAS1","1","1,766,048,426","",""
"F8N1PGA3","1","1,766,048,260","DCP","8"
"F8N1FEU7","1","1,766,048,236","DCP","5"
"R2N07E36","1","1,766,048,334","DTC","2"
"F8N1YFJ6","1","1,766,048,466","DTC","10"
"F8N1LGA7","1","1,766,048,371","",""
"R2N5K920","1","1,766,048,410","IDL","2"
"D6N58369","1","1,766,048,378","ESB","5"
"F8N69E10","1","1,766,048,452","ESB","1"
"F8N0YWL8","1","1,766,048,324","NAV","18"
"F8N1XSH6","1","1,766,048,340","DCP","6"
"R2NV0330","1","1,766,048,349","NAV","1"
"D6N00N89","1","1,766,048,419","DTC","0"
"F8N0GFU9","1","1,766,048,277","DCP","4"
"F9K02283","1","1,766,048,324","DTC","0"
"F8N1JYP4","1","1,766,048,228","DCP","2"
"F8N1NTB8","1","1,766,048,261","DCP","1"
"R2N5T588","1","1,766,048,238","DCP","3"
"R2N6U464","1","1,766,048,338","DCP","0"
"R2N0Z252","1","1,766,047,270","DCP","1"
"D6N68431","1","1,766,048,339","HAD","0"
"R2N03M82","1","1,766,045,618","ESB","8"
"R2N0N410","1","1,766,046,558","DTC","0"
"F8N0CXE4","1","1,766,046,660","DCP","1"
"F8N70316","1","1,766,046,561","ESB","1"
"F8N1FES5","1","1,766,046,348","DCP","0"
"R2N1Y956","1","1,766,046,660","",""
"F8S96A66","1","1,766,046,408","DCP","6"
"F8N03480","1","1,766,046,710","COR","0"
"D6N59111","1","1,766,046,540","DCP","1"
"R2N5S582","1","1,766,046,469","DCP","8"
"R2N0R183","1","1,766,046,615","ESB","1"
"F8N42Y65","1","1,766,046,520","DCP","0"
"F8N0BYX0","1","1,766,046,539","NAV","34"
"R2NU9958","1","1,766,046,400","DCP","0"
"R2N08V39","1","1,766,046,482","DCP","7"
"R2N0LS94","1","1,766,046,523","HAD","2"
"R2N3Z540","1","1,766,046,620","DCP","10"
"D3S08569","1","1,766,046,619","ESB","0"
"D6N57222","1","1,766,046,526","DCP","21"
"D6N56264","1","1,766,046,535","DCP","10"
"D6N33138","1","1,766,046,694","DBF","8"
"F8N1PNA3","1","1,766,046,650","NAV","1"
"R2N8T653","1","1,766,046,585","DCP","1"
"F8N1UDC2","1","1,766,044,825","DCP","0"
"D6N62131","1","1,766,093,983","DTC","1"
"F8S22A36","1","1,766,093,873","DCP","13"
"D6N00C25","1","1,766,093,922","COR","0"
"R2N5K920","1","1,766,093,985","IDL","2"
"F8NVF056","1","1,766,094,121","DCP","5"
"F8N0RKN2","1","1,766,094,320","DCP","17"
"R2N07151","1","1,766,094,160","DTC","26"
"D6NK8880","1","1,766,094,179","DCP","20"
"R2N0N058","1","1,766,094,011","DTO","1"
"R2N5U918","1","1,766,094,440","",""
"R2N7Y038","1","1,766,094,332","DTC","0"
"D6N53840","1","1,766,094,642","",""
"D6N53837","1","1,766,094,643","",""
"F8S22A60","1","1,766,094,236","DCP","2"
"F8S61A37","1","1,766,094,203","DCP","0"
"F8N0RKN2","1","1,766,094,659","DCP","15"
"F8N0RKN2","1","1,766,094,520","DCP","16"
"D6NK8818","1","1,766,093,955","DTO","10"
"D6N62131","1","1,766,094,383","DTC","1"
"R2N49991","1","1,766,094,448","DTC","9"
"F8S06A55","1","1,766,094,207","DCP","24"
"R2N5K920","1","1,766,094,283","IDL","2"
"R2S00G35","1","1,766,094,588","DCP","2"
"F8S83A75","1","1,766,094,183","DCP","25"
"R2N5K920","1","1,766,094,722","IDL","2"
"R2N11207","1","1,766,094,187","DCP","0"
"R2N5U910","1","1,766,094,439","",""
"F8N0BRP3","1","1,766,094,750","DTC","1"
"R2NV5817","1","1,766,094,566","DTC","42"
"R2S02S38","1","1,766,094,255","DTO","1"
"R2N11112","1","1,766,094,604","DCP","1"
"R2N5U919","1","1,766,094,439","",""
"R2N5U915","1","1,766,094,439","",""
"R2N0CH46","1","1,766,094,850","DCP","1"
"F8N0FWK8","1","1,766,104,536","NAV","1"
"R2N7P553","1","1,766,104,575","DCP","0"
"D6N53922","1","1,766,104,502","DCP","0"
"D6N58219","1","1,766,104,616","NAV","0"
"F8N1LGA7","1","1,766,104,370","DCP","14"
"R2N7Z757","1","1,766,104,159","DCP","0"
"R2NR0819","1","1,766,104,572","ESB","1"
"R2N0KE90","1","1,766,104,465","DCP","7"
"D6N30160","1","1,766,104,519","DCP","3"
"F8N0GZN3","1","1,766,104,534","HAD","1"
"R2N0FA70","1","1,766,104,701","",""
"D6NH6510","1","1,766,104,485","NAV","18"
"N8N03K94","1","1,766,104,594","NAV","15"
"F8N0DKC0","1","1,766,104,625","DTC","16"
"F8N1XBE2","1","1,766,104,573","",""
"R2N2X937","1","1,766,104,519","DCP","5"
"R2N1W219","1","1,766,104,494","DCP","13"
"R2K3A792","1","1,766,104,622","NOR","3"
"R2N5U917","1","1,766,094,440","",""
"D6N06037","1","1,766,094,793","DCP","33"
"F8S69A71","1","1,766,094,343","DCP","6"
"R2N5M660","1","1,766,094,475","DCP","20"
"F8N0MDU9","1","1,766,094,214","NAV","1"
"F8N0PCK4","1","1,766,094,593","DTO","2"
"D6N62131","1","1,766,094,884","DTC","1"
"R2N81581","1","1,766,094,496","DCP","5"
"D6N20223","1","1,766,094,054","DCP","5"
