"UnitNumber","abff","changetime","opmode","floor"
"R2N2P800","1","1,766,104,664","DCP","15"
"D3N00M71","1","1,766,104,845","ESB","1"
"R2N7T286","1","1,766,104,782","ESB","1"
"R2N02O34","1","1,766,104,802","DTC","1"
"F8N95K09","1","1,766,104,750","NAV","17"
"R2S02N11","1","1,766,104,854","DCP","1"
"R2N3D280","1","1,766,104,843","DCP","7"
"R2S02S44","1","1,766,104,847","HAD","1"
"R2N1R387","1","1,766,104,796","ESB","1"
"F8N0KKU0","1","1,766,104,712","DCP","15"
"R2N77176","1","1,766,104,629","HAD","0"
"D6N48978","1","1,766,104,734","DCP","3"
"R2N5H011","1","1,766,104,674","DCP","16"
"D7NB9641","1","1,766,095,205","ESB","14"
"F8S22A36","1","1,766,095,035","DCP","9"
"R2N5K920","1","1,766,095,566","IDL","2"
"D6NH5957","1","1,766,096,228","DCP","2"
"F8N0RKN2","1","1,766,095,909","DCP","10"
"F8N0ZBX0","1","1,766,096,392","DTC","22"
"R2N9Z114","1","1,766,095,293","DTC","4"
"F8K72A28","1","1,766,094,923","DTO","2"
"D6N50822","1","1,766,095,256","DCP","23"
"D6N62131","1","1,766,095,534","DTC","1"
"R2N4R821","1","1,766,096,378","DCP","10"
"F8N0JDS9","1","1,766,095,109","DCP","13"
"D6N62131","1","1,766,095,283","DTC","1"
"R2N5M654","1","1,766,095,948","DCP","11"
"F8N55S97","1","1,766,095,346","DTC","17"
"F8S26B82","1","1,766,096,140","DTC","0"
"R2N4E919","1","1,766,095,550","DBF","0"
"R2N7Y329","1","1,766,095,954","",""
"D6S00C55","1","1,766,095,476","DCP","22"
"D6S00I61","1","1,766,095,677","DCP","0"
"R2S05899","1","1,766,085,062","NOR","26"
"D6N11651","1","1,766,084,466","DBF","2"
"R2NV5955","1","1,766,084,946","DCP","0"
"F8N1M513","1","1,766,084,750","DCP","26"
"R2N7Y038","1","1,766,086,392","DTC","0"
"R2NA5557","1","1,766,086,357","DCP","6"
"R2K4A147","1","1,766,084,539","DCP","26"
"R2N7X351","1","1,766,084,759","DCP","1"
"R2N5K920","1","1,766,085,051","IDL","2"
"F8S40A15","1","1,766,084,733","DCP","9"
"R2N1N964","1","1,766,085,129","ESB","2"
"R2N5K920","1","1,766,087,078","IDL","2"
"R2N9Z114","1","1,766,086,795","DTC","4"
"R2N1J032","1","1,766,084,832","NAV","1"
"R2N6H048","1","1,766,085,084","NOR","2"
"F8N2ARN0","1","1,766,085,111","NAV","0"
"R2N7Y038","1","1,766,085,168","DTC","0"
"D6N61332","1","1,766,085,892","ESB","1"
"F8N5K540","1","1,766,085,868","DCP","12"
"R2N1X401","1","1,766,085,412","NAV","255"
"F8S85A38","1","1,766,085,099","DCP","20"
"F8N84Y68","1","1,766,085,297","NAV","8"
"D6N62131","1","1,766,085,103","DTC","1"
"D6N62131","1","1,766,087,430","DTC","1"
"F8S47A94","1","1,766,085,097","DCP","2"
"F8S61B82","1","1,766,084,817","DCP","34"
"D6N62131","1","1,766,084,702","DTC","1"
"R2N6J997","1","1,766,104,864","HAD","6"
"R2N5Y283","1","1,766,104,637","DCP","0"
"R2N8E883","1","1,766,104,788","DCP","3"
"F8N1ZHB8","1","1,766,105,053","DTC","12"
"R2N0FP52","1","1,766,104,690","HAD","2"
"R2N4M658","1","1,766,104,913","ESB","0"
"R2K01Y24","1","1,766,104,747","HAD","1"
"R2N4W199","1","1,766,104,379","DCP","16"
"F8N59789","1","1,766,104,842","HAD","1"
"R2N7P553","1","1,766,104,829","DCP","4"
"R2N5K920","1","1,766,062,193","NAV","2"
"F8N1CFU3","1","1,766,061,206","DCP","0"
"F8N1SGN1","1","1,766,061,861","DCP","0"
"R2N6P688","1","1,766,062,059","ESB","2"
"F8N0HSE7","1","1,766,061,621","DTC","6"
"R2N49991","1","1,766,061,536","DTC","9"
"F8N0RYW2","1","1,766,061,189","DTC","3"
"R2N2Z988","1","1,766,061,346","DCP","1"
"F8N0AXG6","1","1,766,061,461","DCP","7"
"R2N1Z620","1","1,766,061,626","ESB","17"
"R2NV5355","1","1,766,061,325","DCP","22"
"R2N5K920","1","1,766,061,736","IDL","2"
"F8N0NKW2","1","1,766,061,964","NAV","2"
"D6N05444","1","1,766,061,103","DCP","0"
"F8N0YNH5","1","1,766,062,061","DCP","7"
"F8N81T09","1","1,766,061,555","NAV","2"
"R2N1J089","1","1,766,061,610","NAV","23"
"R2N9G951","1","1,766,061,700","HAD","24"
"R2N5K920","1","1,766,062,583","NAV","2"
"D6N53852","1","1,766,061,650","DCP","13"
"R2N5K920","1","1,766,061,551","IDL","2"
"F8N1WBA1","1","1,766,061,671","DCP","0"
"F8N0HSE7","1","1,766,062,453","DTC","6"
"R2S00G35","1","1,766,061,127","DCP","1"
"R2N7M929","1","1,766,062,623","DCP","6"
"R2N7Y624","1","1,766,062,355","DCP","1"
"D6N57421","1","1,766,062,418","DCP","16"
"R2N7Y038","1","1,766,062,582","DTC","0"
"F8N1SCC2","1","1,766,054,843","ESB","1"
"F8N1SGN1","1","1,766,062,342","DCP","0"
"R2N8R285","1","1,766,061,696","DTC","1"
"R2N00492","1","1,766,061,762","HAD","0"
"F8N1FHD4","1","1,766,061,661","DCP","0"
"R2N9Z114","1","1,766,061,383","DTC","4"
"D6N62131","1","1,766,061,802","DTC","1"
"R2N02O24","1","1,766,062,761","",""
"D6N53662","1","1,766,061,616","DCP","14"
"R2N5N613","1","1,766,061,276","DCP","0"
"R2N6P695","1","1,766,062,718","ESB","2"
"D6NH7964","1","1,766,061,851","DCP","10"
"N8S01D81","1","1,766,061,774","NAV","1"
"D6N60869","1","1,766,061,928","DCP","3"
"F8N0CXD5","1","1,766,061,864","DCP","19"
"F8N34T44","1","1,766,062,870","DCP","0"
"R2N6N829","1","1,766,062,014","ESB","0"
"F8N1YDT6","1","1,766,061,517","",""
"D6NK7152","1","1,766,061,811","DCP","15"
"R2N0FD67","1","1,766,061,236","DCP","10"
"R2N9M679","1","1,766,061,965","DCP","1"
"R2N5P556","1","1,766,061,954","DCP","3"
"R2NV5817","1","1,766,063,217","DCP","11"
"F8N43T45","1","1,766,063,396","DCP","5"
"R2N5K920","1","1,766,062,888","IDL","2"
"R2K01B98","1","1,766,062,073","DTC","1"
"R2N0FD67","1","1,766,061,788","DCP","10"
"R2N7D249","1","1,766,063,559","DCP","2"
"F8N0MYR9","1","1,766,062,258","",""
"R2N7Y038","1","1,766,062,184","DTC","0"
"F8N07X26","1","1,766,061,627","NAV","0"
"D6NK9489","1","1,766,063,015","NAV","255"
"R2NV2958","1","1,766,061,882","DCP","1"
"R2S02446","1","1,766,063,552","DTC","2"
"F8N13E09","1","1,766,062,014","NAV","7"
"R2S05115","1","1,766,061,956","NAV","7"
"R2N5K920","1","1,766,061,987","IDL","2"
"F8N1CTA8","1","1,766,062,108","DTC","6"
"R2N6T721","1","1,766,063,178","DBF","1"
"F8N0BNE1","1","1,766,061,993","NAV","1"
"N8S01C18","1","1,766,061,884","DCP","11"
"R2K01B98","1","1,766,061,629","DTC","8"
"R2S02C06","1","1,766,063,230","DTC","11"
"R2N4P029","1","1,766,063,833","ESB","8"
"D3SE0289","1","1,766,062,186","ESB","0"
"F8N1XXZ2","1","1,766,061,680","DCP","5"
"R2N6G676","1","1,766,062,185","ESB","1"
"F8N0EXL3","1","1,766,063,368","",""
"F8N2AAP4","1","1,766,061,006","HAD","1"
"D6NL6520","1","1,766,062,250","ESB","1"
"F8N1YDT5","1","1,766,063,369","",""
"R2N7M810","1","1,766,063,897","NAV","1"
"R2N9S467","1","1,766,062,148","DCP","4"
"R2N49991","1","1,766,062,520","DTC","9"
"D6N62131","1","1,766,062,327","DTC","1"
"F8N1BCE8","1","1,766,061,888","NAV","1"
"R2N7Y038","1","1,766,061,660","DTC","0"
"F8S03B60","1","1,766,063,387","DCP","7"
"F8N44W12","1","1,766,061,522","DCP","9"
"F8S97A91","1","1,766,064,207","DCP","6"
"D6N56687","1","1,766,062,621","DTC","0"
"R2NJ1753","1","1,766,061,899","NAV","1"
"R2N3H634","1","1,766,064,332","NAV","2"
"F8S23A84","1","1,766,064,183","HAD","1"
"R2N9Y938","1","1,766,064,160","DCP","1"
"F8N1SBW2","1","1,766,062,502","NAV","6"
"R2S01I23","1","1,766,062,720","DTC","13"
"R2N5T162","1","1,766,050,663","DCP","0"
"F8S46B14","1","1,766,051,113","NAV","9"
"D6N54098","1","1,766,050,949","ESB","1"
"F8N64S50","1","1,766,051,038","NAV","1"
"R2N4E581","1","1,766,050,948","DCP","3"
"F8N79N69","1","1,766,051,079","DCP","1"
"R2N6U492","1","1,766,050,535","NAV","2"
"D6N00K14","1","1,766,046,643","DBF","2"
"F8N1XEK5","1","1,766,050,633","DCP","2"
"F8N73H83","1","1,766,051,018","DCP","1"
"D6N55763","1","1,766,050,633","DCP","26"
"F8N64S49","1","1,766,050,868","NAV","1"
"R2N0R677","1","1,766,050,748","DCP","12"
"F8N0RYW3","1","1,766,051,195","DTC","3"
"R2N0BM57","1","1,766,050,308","DCP","0"
"F8N15P49","1","1,766,050,738","DCP","2"
"R2N0OR64","1","1,766,050,708","NAV","5"
"D6N57679","1","1,766,050,921","",""
"R2N7N571","1","1,766,049,676","DCP","0"
"F8N7T940","1","1,766,049,718","DTC","0"
"R2N7Z753","1","1,766,049,445","DCP","1"
"R2N0LS83","1","1,766,049,530","DCP","1"
"R2N9W028","1","1,766,049,434","DCP","7"
"R2N7W713","1","1,766,049,557","DCP","0"
"F8N0MJZ0","1","1,766,049,699","DCP","8"
"F8N0NUJ5","1","1,766,049,613","DCP","30"
"D6N53852","1","1,766,049,388","DCP","0"
"D6N58367","1","1,766,049,489","DCP","12"
"F8N0XSJ5","1","1,766,049,351","DCP","8"
"F8N0SHH1","1","1,766,049,401","DCP","6"
"R2N4R189","1","1,766,049,408","DCP","18"
"F8N56T79","1","1,766,049,563","NAV","2"
"R2NV5575","1","1,766,049,609","DCP","3"
"F8N1XMK0","1","1,766,049,716","",""
"F8N2ACM4","1","1,766,049,888","DTC","7"
"F8N0PEX8","1","1,766,049,600","DTC","1"
"R2N3J779","1","1,766,049,466","",""
"R2N9R332","1","1,766,049,426","DCP","2"
"N8K00C50","1","1,766,049,557","NAV","1"
"F8N0D120","1","1,766,049,457","DCP","13"
"F8N1YFJ6","1","1,766,049,793","DTC","12"
"F8NFT643","1","1,766,049,514","DTC","23"
"R2N0J054","1","1,766,049,696","DTC","1"
"F8N1JYP3","1","1,766,045,495","DCP","12"
"D6N36118","1","1,766,049,863","ESB","1"
"R2NV7006","1","1,766,049,625","DCP","4"
"R2N7R585","1","1,766,050,721","DCP","3"
"F8N62T38","1","1,766,051,123","DCP","5"
"F8N1XXZ0","1","1,766,051,128","DCP","0"
"D6N62131","1","1,766,050,048","DTC","1"
"R2N02C47","1","1,766,051,318","",""
"R2N0JI49","1","1,766,050,688","DCP","9"
"R2N5W266","1","1,766,050,713","DCP","0"
"R2N2J343","1","1,766,050,927","DCP","1"
"D6N66329","1","1,766,050,860","NAV","0"
"R2N6N152","1","1,766,051,171","DCP","0"
"R2N5K920","1","1,766,050,819","IDL","2"
"D6N50822","1","1,766,050,632","DCP","24"
"R2N0FK79","1","1,766,050,513","DCP","2"
"F8N0BEX1","1","1,766,050,624","DTC","1"
"F8N37N80","1","1,766,051,331","DCP","0"
"R2N08V39","1","1,766,051,364","DCP","12"
"R2N0AX21","1","1,766,050,786","DCP","23"
"R2N0M916","1","1,766,051,181","",""
"R2N3W592","1","1,766,050,970","DCP","0"
"R2N9R636","1","1,766,050,964","DCP","1"
"F8NV3GTN","1","1,766,050,944","DCP","3"
"F8N1XXE3","1","1,766,050,749","DCP","5"
"R2N0K469","1","1,766,050,768","COR","15"
"D6N57257","1","1,766,051,340","DCP","12"
"F8N1HPK5","1","1,766,050,880","DBF","0"
"79NP3958","1","1,766,050,851","DCP","19"
"R2N9T723","1","1,766,050,881","DCP","0"
"F8N0TJP2","1","1,766,047,899","DCP","3"
"R2N08V39","1","1,766,049,802","DCP","7"
"F8N1ZAS6","1","1,766,049,014","COR","0"
"R2N7D274","1","1,766,049,707","ESB","255"
"F8N14T29","1","1,766,049,742","NAV","1"
"F8N1ZEH9","1","1,766,049,652","DCP","1"
"N8S00V13","1","1,766,049,700","HAD","2"
"F8N52W81","1","1,766,049,559","DCP","1"
"D7N01943","1","1,766,049,393","DTC","2"
"D6N66896","1","1,766,049,346","DCP","3"
"F8N86R39","1","1,766,049,524","ESB","1"
"D6N57244","1","1,766,049,546","DCP","1"
"R2N6E153","1","1,766,049,844","DCP","28"
"R2N04R99","1","1,766,049,800","",""
"F8N0MUX8","1","1,766,049,562","HAD","0"
"F8N0SHE3","1","1,766,049,803","DCP","8"
"R2K01W98","1","1,766,049,906","DCP","4"
"F8N0XME4","1","1,766,049,992","NAV","1"
"R2N5X859","1","1,766,049,582","DCP","3"
"R2N9S468","1","1,766,055,915","DCP","3"
"D6NM9291","1","1,766,055,648","DCP","9"
"R2N9P776","1","1,766,056,430","NAV","3"
"F8N5Y201","1","1,766,055,703","DCP","0"
"R2N2S424","1","1,766,055,761","DCP","0"
"D6N44288","1","1,766,056,447","DTC","9"
"R2N9X056","1","1,766,055,974","DCP","2"
"F8N1EKW3","1","1,766,055,887","DCP","0"
"D6NL6520","1","1,766,055,999","NAV","2"
"F8N2A057","1","1,766,056,385","DCP","2"
"R2N6W439","1","1,766,056,270","ESB","12"
"F8N0ZPK6","1","1,766,056,380","DCP","14"
"R2N5K920","1","1,766,055,817","IDL","2"
"R2N8Y037","1","1,766,055,901","DCP","20"
"F8N0PDZ4","1","1,766,055,952","DCP","5"
"F8N72G96","1","1,766,055,792","DCP","20"
"R2N1U926","1","1,766,055,661","DCP","4"
"R2N6Y281","1","1,766,056,036","NAV","0"
"F8N87R11","1","1,766,055,535","DCP","12"
"R2N03B27","1","1,766,056,541","DCP","1"
"R2N7R849","1","1,766,055,997","DCP","4"
"F8N1ETR0","1","1,766,055,827","DCP","8"
"F8N1NRR2","1","1,766,056,007","HAD","1"
"D6N01J90","1","1,766,055,761","DCP","2"
"D6S00K68","1","1,766,056,790","DTC","19"
"D6N62131","1","1,766,055,868","DTC","1"
"F8N0GGG9","1","1,766,056,089","DCP","1"
"F8N0UHF6","1","1,766,055,769","DCP","9"
"R2N0FQ54","1","1,766,056,202","DCP","0"
"F8S87A05","1","1,766,056,646","",""
"R2N3R100","1","1,766,056,552","DTC","15"
"F8N0HWB9","1","1,766,056,030","DTC","21"
"D6N44695","1","1,766,056,030","DCP","19"
"R2N0LS83","1","1,766,055,951","DCP","1"
"F8N2P527","1","1,766,057,036","NAV","6"
"F8N1EDT0","1","1,766,055,764","DCP","1"
"D6N50822","1","1,766,055,938","DCP","2"
"F8N0KCE5","1","1,766,055,748","DCP","11"
"R2NV4685","1","1,766,056,360","DCP","0"
"R2N9W758","1","1,766,056,503","DCP","15"
"F8N0TJN0","1","1,766,055,895","DCP","3"
"R2N3G020","1","1,766,056,088","DCP","0"
"F8N0PCC8","1","1,766,056,334","DCP","0"
"F8N1PFA7","1","1,766,056,096","DTC","17"
"F8N1NHH9","1","1,766,056,586","DCP","2"
"R2N7P564","1","1,766,056,577","DCP","2"
"D6N01Y71","1","1,766,055,958","HAD","1"
"F8N0Z705","1","1,766,056,324","NAV","8"
"F8S06A53","1","1,766,055,654","DCP","14"
"R2N0FK54","1","1,766,056,479","DCP","3"
"R2N9S494","1","1,766,056,230","DCP","1"
"D6N60869","1","1,766,056,143","DCP","26"
"D6N64528","1","1,766,056,216","DTC","9"
"F8N1SGJ9","1","1,766,056,444","DTC","2"
"F8N0BXX3","1","1,766,056,664","DCP","19"
"F8N0JEK2","1","1,766,056,096","NAV","3"
"F8N1KSU1","1","1,766,056,335","",""
"F8NV1654","1","1,766,057,176","HAD","1"
"F8N1PFA7","1","1,766,056,096","DTC","17"
"R2N7R840","1","1,766,056,191","DCP","1"
"R2N9P776","1","1,766,056,043","NAV","3"
"F8NVE247","1","1,766,055,851","DCP","3"
"R2N7Y660","1","1,766,056,448","",""
"R2N5K920","1","1,766,056,485","IDL","2"
"R2N7Z757","1","1,766,053,711","DCP","0"
"R2N8Y347","1","1,766,056,160","DCP","1"
"F8N47U45","1","1,766,056,236","DCP","1"
"F8N1FHX7","1","1,766,056,171","DCP","4"
"F8N1JST5","1","1,766,056,353","DTC","1"
"R2N0CG83JM","1","1,766,057,413","DTC","1"
"F8N2AJZ8","1","1,766,056,525","HAD","1"
"R2N2T709","1","1,766,056,328","DCP","18"
"F8N70R38","1","1,766,057,287","DTO","0"
"N8S00V14","1","1,766,056,465","HAD","6"
"R2N3H767","1","1,766,056,373","NAV","0"
"R2S05252","1","1,766,056,111","HAD","13"
"D6NI1481","1","1,766,055,994","DTO","1"
"F8N1SMW2","1","1,766,056,726","DCP","8"
"F8N0BXW7","1","1,766,056,465","DCP","16"
"F8N1AYP9","1","1,766,056,719","",""
"R2N4N813","1","1,766,056,934","DCP","5"
"R2N79411","1","1,766,056,022","DCP","18"
"N8K00S18","1","1,766,056,141","DCP","0"
"F8N2A539","1","1,766,057,020","DTO","1"
"R2N5F785","1","1,766,057,016","DCP","0"
"F8N1UZW3","1","1,766,056,553","DCP","0"
"F8N04Y38","1","1,766,057,018","HAD","1"
"F8N65Y50","1","1,766,056,620","NAV","0"
"R2N7Y038","1","1,766,057,818","DTC","0"
"D6N43895","1","1,766,056,404","DCP","1"
"R2N5K920","1","1,766,056,691","IDL","2"
"F8N52S02","1","1,766,056,422","DCP","4"
"F8N1FEF2","1","1,766,056,468","DCP","3"
"D6N33447","1","1,766,056,477","DCP","25"
"R2N9T094","1","1,766,056,725","DCP","0"
"F8N85R62","1","1,766,056,500","DCP","1"
"F8N1WBA1","1","1,766,057,524","DCP","0"
"F8N2AJZ9","1","1,766,056,481","NAV","1"
"F8N46W80","1","1,766,053,887","NAV","26"
"R2K4A650","1","1,766,053,871","DBF","0"
"R2N1J072","1","1,766,054,004","COR","0"
"D6N50822","1","1,766,053,791","DCP","21"
"D6K00H80","1","1,766,053,799","ESB","9"
"F8N1UUL8","1","1,766,053,891","ESB","4"
"F8N0EDZ5","1","1,766,054,422","DCP","4"
"R2N07F08","1","1,766,046,287","HAD","0"
"R2N07F08","1","1,766,046,287","HAD","0"
"D6N50459","1","1,766,054,014","",""
"R2N9S480","1","1,766,053,819","DCP","0"
"R2N4Z260","1","1,766,053,970","HAD","4"
"R2N7Y038","1","1,766,054,199","DTC","0"
"F8N1UDC2","1","1,766,044,825","DCP","0"
"F8N0JDE2","1","1,766,053,836","DCP","6"
"F8N0P754","1","1,766,053,909","DCP","5"
"F8N21W85","1","1,766,053,551","DCP","1"
"F8N0TGK6","1","1,766,053,911","NAV","0"
"D6N02D91","1","1,766,054,463","ESB","1"
"F8N24B29","1","1,766,053,909","DTC","1"
"R2NA7613","1","1,766,054,127","DTC","0"
"R2N7M807","1","1,766,054,032","DCP","31"
"R2N3X177","1","1,766,054,170","ESB","24"
"R2N5K920","1","1,766,053,968","IDL","2"
"R2NV3269","1","1,766,053,942","ESB","0"
"R2N5W356","1","1,766,053,813","DCP","2"
"D6N01O42","1","1,766,054,036","DCP","3"
"F8N1LEC9","1","1,766,054,181","DCP","29"
"R2N5Y257","1","1,766,054,194","DTC","1"
"F8N1UJX6","1","1,766,055,010","DCP","4"
"F8N0TSH9","1","1,766,054,056","ESB","1"
"R2N3Z920","1","1,766,053,801","DCP","3"
"F8N1UZW3","1","1,766,054,092","DCP","0"
"R2N7M807","1","1,766,054,338","DLM","30"
"R2N5P448","1","1,766,054,304","DCP","0"
"D6N44312","1","1,766,054,059","ESB","33"
"R2N8Y037","1","1,766,054,084","DCP","20"
"R2S08634","1","1,766,053,976","DCP","1"
"F8S54A67","1","1,766,054,780","HAD","4"
"R2N5K920","1","1,766,054,282","IDL","2"
"R2N8N711","1","1,766,054,335","DCP","8"
"D6NG3396","1","1,766,054,057","NAV","0"
"N8N01O16","1","1,766,054,395","DCP","0"
"R2NS1766","1","1,766,054,908","DCP","18"
"F8N1PFA7","1","1,766,055,043","DTC","20"
"R2N1Z182","1","1,766,054,517","DCP","2"
"D6N57240","1","1,766,054,071","DCP","14"
"R2N79397","1","1,766,054,090","DCP","2"
"F8N46X65","1","1,766,053,969","NAV","3"
"D6N54193","1","1,766,054,256","DCP","19"
"F8N1WDK1","1","1,766,054,940","DCP","5"
"R2N06586","1","1,766,054,446","DTC","12"
"R2N6T481","1","1,766,054,050","DCP","14"
"D6N57432","1","1,766,055,168","NAV","11"
"R2N1Z182","1","1,766,051,822","DCP","2"
"F8N24B29","1","1,766,054,259","DTC","1"
"R2N8S802","1","1,766,054,031","NAV","3"
"R2NP3984","1","1,766,054,183","DCP","3"
"F8N7A858","1","1,766,053,997","DCP","0"
"R2NV2261","1","1,766,054,169","ESB","1"
"D6N02M09","1","1,766,054,331","DCP","0"
"D6N44695","1","1,766,055,007","DCP","26"
"R2N6A726","1","1,766,054,148","DCP","0"
"R2N8S802","1","1,766,054,250","NAV","255"
"D6N62131","1","1,766,054,360","DTC","1"
"R2N1N964","1","1,766,054,382","ESB","2"
"F8N1FDM6","1","1,766,055,055","DCP","16"
"R2N3H234","1","1,766,055,220","NAV","2"
"D6NL7527","1","1,766,054,238","DCP","17"
"F8N0NSX2","1","1,766,054,521","HAD","2"
"R2N04N68","1","1,766,054,288","",""
"R2N8Y350","1","1,766,054,305","DCP","0"
"D6S01917","1","1,766,054,145","DCP","3"
"F8N04Z46","1","1,766,054,213","DCP","2"
"D6N50822","1","1,766,054,068","DCP","15"
"D6N57835","1","1,766,054,101","DCP","4"
"R2N2X922","1","1,766,055,236","DCP","0"
"F8N43T45","1","1,766,054,389","DCP","22"
"F8N1SEA9","1","1,766,054,197","DCP","1"
"R2N1G136","1","1,766,055,319","HAD","2"
"D6N01Y76","1","1,766,054,549","ESB","1"
"F8N1SEA9","1","1,766,054,547","DCP","15"
"D6N01J90","1","1,766,055,284","DCP","2"
"F8N1WDK1","1","1,766,054,364","DCP","5"
"F8N0TSJ0","1","1,766,055,294","HAD","17"
"D6N60869","1","1,766,054,604","DTC","26"
"D6N19164","1","1,766,054,384","DCP","10"
"F8N0K676","1","1,766,054,138","DTC","3"
"D6N60415","1","1,766,054,493","DCP","1"
"F8N1CEW7","1","1,766,054,327","DCP","44"
"N8S00H09","1","1,766,054,297","DCP","2"
"F8N43M06","1","1,766,054,307","DCP","1"
"F8N50Y54","1","1,766,054,567","HAD","1"
"R2N5Z560","1","1,766,047,673","DCP","12"
"D6N40878","1","1,766,054,123","DCP","14"
"D6N45465","1","1,766,054,486","HAD","0"
"F8N0JDE0","1","1,766,045,273","DCP","1"
"R2S03M17","1","1,766,045,682","ESB","4"
"F8N72417","1","1,766,045,464","ESB","1"
"F8N0WDC6","1","1,766,045,201","DCP","5"
"N8S00L99","1","1,766,045,282","NAV","1"
"R2N5K920","1","1,766,045,393","IDL","2"
"R2S03O59","1","1,766,045,444","",""
"R2N4Y086","1","1,766,045,759","",""
"F8N1SEK5","1","1,766,045,319","ESB","1"
"F8N1EDG1","1","1,766,043,812","DTC","0"
"F8N0BYX0","1","1,766,043,868","NAV","1"
"N8N02B82","1","1,766,043,856","DCP","6"
"F8N1ZGK0","1","1,766,043,918","HAD","14"
"F8S17A80","1","1,766,043,878","NAV","4"
"F8N0PKM2","1","1,766,043,807","DCP","12"
"D6N20646","1","1,766,043,844","ESB","1"
"F8N0RSH7","1","1,766,043,718","DCP","4"
"F8N54J79","1","1,766,043,874","ESB","2"
"R2N03U04","1","1,766,043,889","",""
"D6N69429","1","1,766,043,699","HAD","2"
"R2N0HC24","1","1,766,042,892","HAD","6"
"R2N6R781","1","1,766,043,876","ESB","1"
"R2N4Z886","1","1,766,043,782","DCP","23"
"R2N07Y78","1","1,766,043,669","DTO","0"
"R2NP0702","1","1,766,043,764","ESB","1"
"F8N40R70","1","1,766,043,861","HAD","6"
"F8N0RTK5","1","1,766,043,682","DCP","5"
"F8S66A13","1","1,766,043,916","",""
"R2N4J517","1","1,766,043,756","DCP","11"
"R2NE1168","1","1,766,043,907","ESB","1"
"R2N09G65","1","1,766,043,680","HAD","0"
"R2K01C56","1","1,766,043,860","ESB","1"
"D6N45799","1","1,766,043,833","HAD","1"
"R2N0DC93","1","1,766,043,900","DTC","4"
"R2N26642","1","1,766,043,914","NAV","17"
"R2N04918","1","1,766,043,898","ESB","1"
"R2N86176","1","1,766,043,922","ESB","1"
"R2N9N891","1","1,766,043,901","DTC","5"
"R2N9Z077","1","1,766,043,868","DBF","0"
"F9KA0111","1","1,766,043,700","DCP","1"
"R2N1J078","1","1,766,043,913","DCP","7"
"F8N1NTB8","1","1,766,045,364","DCP","1"
"F9K01314","1","1,766,045,668","ESB","1"
"F8N92E27","1","1,766,045,233","DCP","1"
"F8N1SEN0","1","1,766,045,424","NAV","1"
"R2N3J104","1","1,766,045,388","DCP","16"
"R2S02J82","1","1,766,045,403","DTC","18"
"F8N0ZFJ9","1","1,766,045,295","DCP","0"
"R2N1R891","1","1,766,045,259","HAD","1"
"F8N67S96","1","1,766,045,532","DCP","9"
"D6N37282","1","1,766,045,202","DCP","32"
"F8N1BRX1","1","1,766,045,250","DCP","11"
"R2N2P847","1","1,766,045,406","DCP","8"
"F8N1KHM6","1","1,766,045,425","DCP","9"
"R2N0JI49","1","1,766,045,501","DCP","3"
"R2N7N504","1","1,766,045,358","ESB","1"
"D6N62131","1","1,766,042,025","DTC","1"
"F8N2ADE8","1","1,766,045,581","DCP","4"
"F8N0JXW4","1","1,766,045,484","",""
"R2S02S38","1","1,766,045,399","",""
"R2N04N74","1","1,766,045,420","ESB","5"
"R2N0CR20","1","1,766,045,278","DCP","18"
"F8N49Y94","1","1,766,045,285","DTO","2"
"F8N18Y88","1","1,766,045,763","ESB","32"
"F8N63J29","1","1,766,045,513","NAV","2"
"R2NV2281","1","1,766,047,105","ESB","1"
"R2N08V39","1","1,766,045,365","DCP","1"
"F8N1USJ3","1","1,766,045,388","DTC","0"
"D6NK4621","1","1,766,045,479","NAV","2"
"R2N91717","1","1,766,045,819","ESB","1"
"R2N7Z745","1","1,766,045,622","DCP","1"
"R2N07464","1","1,766,045,188","DCP","50"
"F8N1AKJ4","1","1,766,045,350","DCP","12"
"D6N57422","1","1,766,045,326","DCP","12"
"D6S01528","1","1,766,041,810","DCP","1"
"D3K00B96","1","1,766,041,735","HAD","1"
"R2N0U879","1","1,766,041,942","ESB","3"
"F8S75B73","1","1,766,041,771","ESB","0"
"R2N06H18","1","1,766,042,013","",""
"F8N0UPD5","1","1,766,041,862","ESB","1"
"F8N0TSW7","1","1,766,041,825","NAV","4"
"F8N1YRZ8","1","1,766,041,919","DCP","4"
"D6N68067","1","1,766,041,747","DCP","12"
"R2K01U60","1","1,766,041,856","DCP","17"
"R2N6E915","1","1,766,040,987","DCP","0"
"F8N0PZD3","1","1,766,041,779","DCP","1"
"R2N04I17","1","1,766,041,303","",""
"F8N1DZR5","1","1,766,041,930","ESB","18"
"R2K4A147","1","1,766,041,748","DCP","26"
"F8N1S793","1","1,766,041,944","DCP","13"
"F8N0GFU4","1","1,766,041,870","DCP","1"
"R2N5K920","1","1,766,041,895","IDL","2"
"F8N0XSJ9","1","1,766,041,978","",""
"R2N5Z083","1","1,766,041,962","DTC","2"
"R2N43296","1","1,766,041,883","HAD","1"
"D6N54597","1","1,766,042,053","NAV","14"
"R2N8S790","1","1,766,041,932","DTC","0"
"R2N33306","1","1,765,986,073","DCP","14"
"F8N0SXG6","1","1,765,984,046","DCP","3"
"R2N78874","1","1,765,982,717","NAV","0"
"F8N1GAS7","1","1,765,984,118","DCP","5"
"R2N5K920","1","1,765,986,224","NAV","2"
