"UnitNumber","insff","inschangetime"
"R2N2P828","1","1,766,060,972"
"R2N8K651","1","1,766,060,981"
"R2N2P828","1","1,766,060,983"
"N8S00N39","1","1,766,061,157"
"R2N2P828","1","1,766,061,163"
"R2N2P828","1","1,766,060,885"
"R2N8K651","1","1,766,060,885"
"D3B00012","1","1,766,061,092"
"R2N2P828","1","1,766,061,124"
"R2N2P828","1","1,766,061,002"
"D6N36861","1","1,766,060,975"
"R2N8K651","1","1,766,060,947"
"R2N4N450","1","1,766,061,054"
"F8S54A67","1","1,766,060,961"
"R2N2P828","1","1,766,061,238"
"R2N8K651","1","1,766,060,950"
"R2N7Y258","1","1,766,060,963"
"R2N2P828","1","1,766,061,060"
"R2N1Z620","1","1,766,060,956"
"F8S54A67","1","1,766,060,888"
"R2N2P828","1","1,766,061,096"
"R2N2P828","1","1,766,061,028"
"R2N2P828","1","1,766,061,221"
"R2N2P828","1","1,766,061,069"
"R2N2P828","1","1,766,061,121"
"R2N8K651","1","1,766,061,006"
"R2N2P828","1","1,766,060,979"
"R2N8K639","1","1,766,094,161"
"R2N8K639","1","1,766,094,212"
"R2N8K651","1","1,766,094,298"
"R2N8K639","1","1,766,094,190"
"R2N8K651","1","1,766,094,157"
"R2N8K651","1","1,766,094,160"
"R2N8K651","1","1,766,094,184"
"R2NH4275","1","1,766,094,065"
"R2N8K651","1","1,766,094,169"
"R2N8K639","1","1,766,094,203"
"R2N8K639","1","1,766,094,209"
"R2N8K651","1","1,766,094,224"
"R2N8R791","1","1,766,094,300"
"D7N01966","1","1,766,094,163"
"R2N8R791","1","1,766,094,229"
"R2N8K639","1","1,766,094,223"
"R2N8K639","1","1,766,094,177"
"R2N8K639","1","1,766,094,218"
"R2N8R791","1","1,766,094,237"
"R2N8R791","1","1,766,094,336"
"R2N8R791","1","1,766,094,203"
"R2N8R791","1","1,766,094,164"
"R2N8K639","1","1,766,094,199"
"R2N8K651","1","1,766,094,182"
"R2N8R791","1","1,766,094,175"
"R2N8R791","1","1,766,094,206"
"R2N8K651","1","1,766,094,241"
"R2N8K639","1","1,766,094,183"
"R2N8K651","1","1,766,094,243"
"R2N8K651","1","1,766,094,207"
"R2N8K651","1","1,766,094,250"
"R2N8K651","1","1,766,094,201"
"R2N8R791","1","1,766,094,220"
"R2N8K651","1","1,766,094,220"
"R2N8R791","1","1,766,094,246"
"R2N8K639","1","1,766,094,230"
"R2N8K651","1","1,766,094,280"
"R2N8R791","1","1,766,094,213"
"R2N8K639","1","1,766,094,284"
"R2N8K639","1","1,766,094,235"
"R2N8R791","1","1,766,094,286"
"R2N8R791","1","1,766,094,173"
"R2N8K651","1","1,766,094,290"
"R2N8R791","1","1,766,094,224"
"R2N8R791","1","1,766,094,305"
"R2N8K651","1","1,766,094,231"
"R2N8K639","1","1,766,094,248"
"R2N8K639","1","1,766,094,242"
"R2N8K639","1","1,766,094,335"
"R2N8K651","1","1,766,094,305"
"R2N8K639","1","1,766,094,254"
"R2N8R791","1","1,766,094,310"
"R2N8R791","1","1,766,094,269"
"R2N8R791","1","1,766,094,179"
"R2N8K651","1","1,766,094,338"
"R2N8R791","1","1,766,094,322"
"R2N8R791","1","1,766,094,168"
"R2N8R791","1","1,766,094,330"
"R2N8K651","1","1,766,094,302"
"F8N1CGB9","1","1,766,094,441"
"R2N8R791","1","1,766,094,240"
"R2N8K639","1","1,766,094,481"
"F8N1NMT7","1","1,766,094,501"
"R2N8R791","1","1,766,094,186"
"R2N8R791","1","1,766,094,276"
"R2N8K651","1","1,766,094,380"
"R2N8R791","1","1,766,094,248"
"R2N8R791","1","1,766,094,189"
"R2N8K651","1","1,766,094,254"
"R2N8K639","1","1,766,094,215"
"R2N8K651","1","1,766,094,189"
"R2N8K651","1","1,766,094,260"
"R2N8K639","1","1,766,094,345"
"R2N8R791","1","1,766,094,511"
"R2N8R791","1","1,766,094,193"
"R2N8K651","1","1,766,094,363"
"R2N8K651","1","1,766,094,296"
"R2N8K639","1","1,766,094,174"
"R2N8K639","1","1,766,094,368"
"R2N8R791","1","1,766,094,368"
"R2N8R791","1","1,766,094,371"
"R2N8K651","1","1,766,094,197"
"R2N8K639","1","1,766,094,513"
"R2N8R791","1","1,766,094,430"
"R2N8R791","1","1,766,094,378"
"R2N8K651","1","1,766,094,309"
"R2N8R791","1","1,766,094,373"
"R2N8K639","1","1,766,094,252"
"R2N8R791","1","1,766,094,316"
"R2N8K651","1","1,766,094,515"
"R2N8K639","1","1,766,094,226"
"R2N8R791","1","1,766,094,518"
"R2N8K651","1","1,766,094,322"
"R2N8K639","1","1,766,094,375"
"R2N8K639","1","1,766,094,387"
"R2N8R791","1","1,766,094,326"
"R2N8R791","1","1,766,094,408"
"R2N8K639","1","1,766,094,164"
"F8N1CGB9","1","1,766,094,396"
"R2N8K639","1","1,766,094,529"
"R2N8K639","1","1,766,094,348"
"R2N8R791","1","1,766,094,450"
"R2N8R791","1","1,766,094,218"
"R2N8R791","1","1,766,094,412"
"R2N8K651","1","1,766,094,166"
"R2N8K651","1","1,766,094,468"
"R2N8K639","1","1,766,094,538"
"R2N8R791","1","1,766,094,414"
"R2N8K651","1","1,766,094,539"
"R2N8K651","1","1,766,094,237"
"R2N8R791","1","1,766,094,452"
"R2N8K639","1","1,766,094,468"
"R2N8R791","1","1,766,094,267"
"R2N8K639","1","1,766,094,261"
"R2N8K651","1","1,766,094,524"
"R2N8K639","1","1,766,094,452"
"R2N8K639","1","1,766,094,306"
"R2N8R791","1","1,766,094,576"
"R2N8K639","1","1,766,094,287"
"R2N8K639","1","1,766,094,400"
"R2N8K639","1","1,766,094,268"
"R2N8R791","1","1,766,094,476"
"R2N8K651","1","1,766,094,173"
"R2N8K651","1","1,766,094,271"
"R2N8R791","1","1,766,094,438"
"R2N8K639","1","1,766,094,281"
"F8N1CGB9","1","1,766,094,326"
"R2N8K651","1","1,766,094,328"
"F8N1CGB9","1","1,766,094,378"
"R2N8R791","1","1,766,094,491"
"R2N8K639","1","1,766,094,701"
"R2N8K651","1","1,766,094,389"
"R2N8K639","1","1,766,094,435"
"R2N8R791","1","1,766,094,281"
"R2N8K651","1","1,766,094,706"
"R2N8R791","1","1,766,094,709"
"R2N8R791","1","1,766,094,338"
"R2N8R791","1","1,766,094,537"
"R2N8R791","1","1,766,094,467"
"R2N8K651","1","1,766,094,351"
"R2N8K639","1","1,766,094,310"
"R2N8K651","1","1,766,094,748"
"R2N8R791","1","1,766,094,578"
"R2N8K639","1","1,766,094,562"
"R2N8K651","1","1,766,094,506"
"R2N8R791","1","1,766,094,351"
"R2N8R791","1","1,766,094,360"
"R2N8R791","1","1,766,094,393"
"R2N8K651","1","1,766,094,533"
"R2N8R791","1","1,766,094,580"
"R2N8K651","1","1,766,094,508"
"R2N8R791","1","1,766,094,183"
"R2N8K639","1","1,766,094,278"
"R2N8K651","1","1,766,094,312"
"R2N8R791","1","1,766,094,258"
"R2N8K639","1","1,766,094,192"
"R2N8R791","1","1,766,094,293"
"R2N8K639","1","1,766,094,294"
"R2N8K651","1","1,766,094,424"
"R2N8K651","1","1,766,094,258"
"R2N8K651","1","1,766,094,548"
"R2N8K639","1","1,766,094,548"
"R2N8R791","1","1,766,094,252"
"R2N8K651","1","1,766,094,325"
"F8N1CGB9","1","1,766,094,464"
"R2N8R791","1","1,766,094,365"
"R2N8K639","1","1,766,094,329"
"R2N8K651","1","1,766,094,589"
"R2N8K651","1","1,766,094,438"
"R2N8R791","1","1,766,094,386"
"R2N8K651","1","1,766,094,345"
"R2N8K651","1","1,766,094,367"
"R2N8K639","1","1,766,094,439"
"R2N8K651","1","1,766,094,477"
"R2N8R791","1","1,766,094,603"
"R2N8K639","1","1,766,094,591"
"R2N8K651","1","1,766,094,790"
"R2N8R791","1","1,766,094,792"
"R2N8R791","1","1,766,094,333"
"R2N8K651","1","1,766,094,480"
"R2N8R791","1","1,766,094,587"
"R2N8K639","1","1,766,094,494"
"R2N8K639","1","1,766,094,594"
"R2N8K651","1","1,766,094,612"
"R2N2P828","1","1,766,094,329"
"R2N8K639","1","1,766,094,552"
"F8N1CGB9","1","1,766,094,501"
"R2N8K651","1","1,766,094,454"
"R2N8R791","1","1,766,094,799"
"R2N8K639","1","1,766,094,455"
"R2N8K639","1","1,766,094,600"
"R2N8K651","1","1,766,094,385"
"R2N8R791","1","1,766,094,263"
"R2N8R791","1","1,766,094,503"
"R2N8K639","1","1,766,094,331"
"R2N8K651","1","1,766,094,815"
"R2N8K639","1","1,766,094,680"
"R2N8R791","1","1,766,094,688"
"R2N8R791","1","1,766,094,434"
"R2N8K651","1","1,766,094,668"
"R2N8R791","1","1,766,094,383"
"R2N8K639","1","1,766,094,817"
"R2N8R791","1","1,766,094,395"
"R2N8R791","1","1,766,094,817"
"R2N8K639","1","1,766,094,396"
"F8N0CDY2","1","1,766,094,606"
"R2N8K639","1","1,766,094,629"
"F8N1CGB9","1","1,766,094,345"
"R2N8R791","1","1,766,094,462"
"R2N8R791","1","1,766,094,694"
"R2N8R791","1","1,766,094,345"
"R2N8R791","1","1,766,094,486"
"R2N8R791","1","1,766,094,827"
"R2N8K639","1","1,766,094,264"
"R2N8K651","1","1,766,094,844"
"R2N8K639","1","1,766,094,445"
"R2N8K651","1","1,766,094,266"
"R2N8R791","1","1,766,094,418"
"R2N8R791","1","1,766,094,399"
"R2N8K639","1","1,766,094,684"
"R2N8R791","1","1,766,094,354"
"D6NH5021","1","1,766,094,631"
"R2N8R791","1","1,766,094,698"
"R2N8K639","1","1,766,094,853"
"R2N8R791","1","1,766,094,854"
"R2N8K651","1","1,766,094,586"
